aleatoric,epistemic
1.087699532508850098e-01,1.388022862374782562e-02
1.500552892684936523e-01,5.313117057085037231e-02
2.028984427452087402e-01,3.024468757212162018e-02
1.698336005210876465e-01,7.339195162057876587e-02
1.930862665176391602e-01,4.855595901608467102e-02
1.522718667984008789e-01,3.729147836565971375e-02
1.375297307968139648e-01,6.748866289854049683e-02
9.723186492919921875e-02,2.840078994631767273e-02
8.245170116424560547e-02,4.796744789928197861e-03
1.785699129104614258e-01,2.526961453258991241e-02
2.097772955894470215e-01,2.483316883444786072e-02
1.668158173561096191e-01,2.587310224771499634e-02
1.703480482101440430e-01,4.779309406876564026e-02
1.850251853466033936e-01,4.602669551968574524e-02
1.991913616657257080e-01,2.406214736402034760e-02
2.128117680549621582e-01,1.906342431902885437e-02
2.220495045185089111e-01,2.128696069121360779e-02
2.282486259937286377e-01,1.401467248797416687e-02
1.802164912223815918e-01,6.283560395240783691e-02
2.100069820880889893e-01,1.890380866825580597e-02
1.944410800933837891e-01,1.588325016200542450e-02
1.935181021690368652e-01,1.166373398154973984e-02
2.253596484661102295e-01,1.994034089148044586e-02
1.850846409797668457e-01,2.684301882982254028e-02
1.794939637184143066e-01,1.923083700239658356e-02
1.780253648757934570e-01,8.819177746772766113e-03
1.538428068161010742e-01,4.624474421143531799e-02
1.566273570060729980e-01,2.090663090348243713e-02
1.494347453117370605e-01,7.010345906019210815e-02
1.563949584960937500e-01,1.921525038778781891e-02
1.578296422958374023e-01,2.028918080031871796e-02
1.186504960060119629e-01,2.328774519264698029e-02
1.383005976676940918e-01,2.215431816875934601e-02
1.888922750949859619e-01,2.578905597329139709e-02
9.435772895812988281e-02,1.183124165982007980e-02
1.156680583953857422e-01,1.244437601417303085e-02
5.202323198318481445e-02,3.065493423491716385e-03
1.103194355964660645e-01,3.483777493238449097e-02
8.853650093078613281e-02,3.342874813824892044e-03
2.920204401016235352e-02,9.353235946036875248e-04
2.222496271133422852e-02,1.573344692587852478e-03
2.605783939361572266e-02,2.043464686721563339e-03
1.293808221817016602e-02,7.568779983557760715e-04
9.155482053756713867e-02,1.346178352832794189e-02
7.288116216659545898e-02,3.481556661427021027e-03
6.097084283828735352e-02,5.762659013271331787e-03
5.362790822982788086e-02,3.230821341276168823e-03
3.908354043960571289e-02,1.656891428865492344e-03
1.256346702575683594e-02,2.315218735020607710e-04
7.253777980804443359e-02,1.226813718676567078e-02
1.171727180480957031e-01,1.197143457829952240e-02
4.844635725021362305e-02,1.532042515464127064e-03
1.368950605392456055e-01,1.147865876555442810e-02
5.733489990234375000e-02,7.289126515388488770e-03
2.781552076339721680e-02,5.564866121858358383e-03
3.160631656646728516e-02,7.922566728666424751e-04
1.189111471176147461e-01,2.530913241207599640e-02
1.243355870246887207e-01,1.560595352202653885e-02
1.489295363426208496e-01,1.655470766127109528e-02
1.129724979400634766e-01,4.288021847605705261e-02
1.468818783760070801e-01,3.637052327394485474e-02
1.096605062484741211e-01,7.651848718523979187e-03
1.810004711151123047e-01,6.823807489126920700e-03
1.023129224777221680e-01,2.796186693012714386e-02
1.648698449134826660e-01,1.434999424964189529e-02
1.586230993270874023e-01,2.758466824889183044e-02
1.295790672302246094e-01,5.880836024880409241e-02
8.786320686340332031e-02,1.412106119096279144e-02
4.043745994567871094e-02,1.888988539576530457e-03
1.224823594093322754e-01,1.429356448352336884e-02
8.143717050552368164e-02,1.401278749108314514e-02
5.300831794738769531e-02,2.231709891930222511e-03
9.658288955688476562e-02,1.709376089274883270e-02
4.148483276367187500e-02,2.883681794628500938e-03
9.323930740356445312e-02,9.778342209756374359e-03
4.425394535064697266e-02,2.009252319112420082e-03
1.079373955726623535e-01,1.617883332073688507e-02
1.076796650886535645e-01,2.761065028607845306e-02
6.666040420532226562e-02,3.309409599751234055e-03
2.191948890686035156e-02,1.227432512678205967e-03
4.128211736679077148e-02,1.365025062114000320e-03
4.196506738662719727e-02,5.254024174064397812e-03
5.155950784683227539e-02,3.538111457601189613e-03
6.264269351959228516e-02,5.537670478224754333e-02
7.119250297546386719e-02,1.065490860491991043e-02
1.431896090507507324e-01,1.430862862616777420e-02
6.430906057357788086e-02,3.143528103828430176e-02
1.133634448051452637e-01,6.216574087738990784e-02
4.762440919876098633e-02,1.311489753425121307e-02
6.270194053649902344e-02,3.274173289537429810e-02
