,1345,1346,1347,1348,1353,1354,1355,1361,1362,1363,1809,1810,1811,1369,1370,1371,1941,1942,1943,1856,1857,1858,1732,1417,1418,1419,1409,1410,1411,1401,1402,1403
2011/9/15 9:15,66,65,65,63,52,72,61,59,53,56,64,53,50,61,67,66,66,63,62,68,63,57,61,50,93,77,57,55,55,67,56,53
2011/9/15 9:15,67,65,56,67,74,60,55,53,58,54,57,45,58,63,58,61,64,56,60,62,65,49,49,70,45,58,69,56,53,64,63,57
2011/9/15 9:15,62,58,65,61.07142857,42,57,53,63,77,55,61,57,56,60,59,59,68,55,53,61,64,64,69,56,56,63,60,55,48,61,52,65
2011/9/15 9:16,61,65,60,62.39130435,38,71,59,80,51,59,73,66,55,63,57,60,63,59,57,58,61,75,55,71,53,56,62,61,62,60,56,51
2011/9/15 9:16,62,86,56,66,60,61,67,64,54,56,63,66,58,67,56,51,67,62,60,61,61,63,54,64,61,51,64,62,62,60,43,55
2011/9/15 9:16,63,62,64,53,60,64,65,71,47,56,58,53,35,61,61,55,67,59,62,68,71,68,42,67,58,55,63,57,58,59,55,55
2011/9/15 9:17,58,66,56,103,57,62,66,74,65,60,69,42,57,74,63,58,65,59,61,78,67,65,64,74,43,29,56,56,61,60,52,55
2011/9/15 9:17,48,63,65,67,48,59,59,69,52,51,72,65,40,64,55,43,65,61,58,71,59,58,51,55,61,55,65,58,64,69,64,55
2011/9/15 9:17,60,68,62,58,55,56,63,75,49,39,66,58,57,72,56,47,65,59,64,51,55,33,31,61,61,70,70,57,44,58,52,51
2011/9/15 9:18,62,67,62,63.42857143,70.57142857,68,86,65,56,63,64,50,44,53,54,41,58.30769231,58,59,68,61,53,32,61,63,71,56,45,58,66,64,56
2011/9/15 9:18,62,66,62,64,60,52,65,76,61,46,51,47,44,70,61,62,66,54,56,61,60,61,55,64,66,59,60,51,55,68,56,56
2011/9/15 9:18,64,66,49,49,70,59,68,69,68,58,77,55,52,66,56,53,67,62,55,71,54,56,29,75,62,57,64,56,52,62,55,53
2011/9/15 9:19,67,72,59,58,66,55,50,62,57,61,72,48,54,69,58,57,55,62,57,60,57,65,57,65,62,56,75,52,54,66,63,62
2011/9/15 9:19,62,50,46,61,64,56,51,49,67,55,68,60,59,66,58,59,71,61,62,68,60,74,48,59,59,56,74,62,52,60,45,52
2011/9/15 9:19,68,55,60,53,45,67,64,77,60,67,71,51,58,68,53,54,70,59,60,64,62,62,46,47,52,50,66,63,59,60,50,57
2011/9/15 9:20,68,55,60,53,45,67,64,63,61,61,69,60,58,65,54,49,66,61,55,66,52,63,67,61,55,59,54,67,56,65,65,58
2011/9/15 9:20,51,59,60,55,64,71,65,56,60,66,60,54,56,71,64,60,68,59,59,60,60,64,45,69,59,55,62,63,54,61,63,56
2011/9/15 9:20,61,60,73,54,53,66,57,70,62,47,52,64,57,70,59,52,71,64,61,72,56,57,43,61,56,46,58,40,71,61,64,47
